"grupa"	"pH"	"skaits"
"kontrole"	6.44	7
"kontrole"	7.01	3
"kontrole"	6.45	3
"kontrole"	6.7	1
"kontrole"	7.3	4
"kontrole"	7.39	3
"kontrole"	6.46	6
"kontrole"	6.67	5
"kontrole"	6.17	5
"kontrole"	6.73	6
"kontrole"	7.21	7
"kontrole"	6.36	9
"kontrole"	6.21	4
"kontrole"	6.34	3
"lidzeklis1"	7.28	3
"lidzeklis1"	6.03	1
"lidzeklis1"	7.25	3
"lidzeklis1"	6.75	1
"lidzeklis1"	6.88	1
"lidzeklis1"	6.91	1
"lidzeklis1"	6.39	6
"lidzeklis1"	5.84	1
"lidzeklis1"	7.33	1
"lidzeklis1"	6.12	1
"lidzeklis1"	7.83	2
"lidzeklis1"	6.96	0
"lidzeklis1"	6.72	2
"lidzeklis1"	6.84	1
"lidzeklis1"	6.29	1
"lidzeklis1"	6.44	1
"lidzeklis1"	6.93	2
"lidzeklis1"	6.77	1
"lidzeklis1"	7.33	0
"lidzeklis1"	7.64	0
"lidzeklis1"	6.4	1
"lidzeklis1"	7.11	2
"lidzeklis1"	6.49	2
"lidzeklis1"	6.94	0
"lidzeklis1"	6.11	2
"lidzeklis1"	6.39	2
"lidzeklis1"	6.91	0
"lidzeklis1"	7.06	0
"lidzeklis1"	7.36	1
"lidzeklis1"	6.22	1
"lidzeklis1"	7	1
"lidzeklis1"	6.88	2
"lidzeklis1"	7.02	1
"lidzeklis1"	6.79	1
"lidzeklis1"	6.39	3
"lidzeklis1"	6.49	1
"lidzeklis1"	6.77	1
"lidzeklis1"	7.17	2
"lidzeklis1"	7.5	1
"lidzeklis1"	6.54	0
"lidzeklis1"	6.94	1
"lidzeklis1"	6.69	1
"lidzeklis1"	7.69	5
"lidzeklis1"	6.46	0
"lidzeklis1"	6.62	2
"lidzeklis1"	6.41	1
"lidzeklis1"	6.98	0
"lidzeklis1"	6.65	0
"lidzeklis1"	7.35	1
"lidzeklis1"	6.55	1
"lidzeklis1"	5.84	1
"lidzeklis1"	6.7	1
"lidzeklis1"	6.29	1
"lidzeklis1"	6.42	1
"lidzeklis1"	6.64	2
"lidzeklis1"	6.92	3
"lidzeklis1"	6.67	0
"lidzeklis1"	6.58	3
"lidzeklis1"	5.77	1
"lidzeklis1"	7.62	0
"lidzeklis1"	6.97	0
"lidzeklis1"	6.85	1
"lidzeklis1"	6.89	4
"lidzeklis1"	6.38	0
"lidzeklis1"	7.53	1
"lidzeklis1"	7.73	2
"lidzeklis1"	7.31	0
"lidzeklis1"	6.39	2
"lidzeklis1"	6.33	0
"lidzeklis1"	6.75	1
"lidzeklis1"	6.02	1
"lidzeklis1"	6.53	1
"lidzeklis1"	6.62	3
"lidzeklis1"	6.88	0
"lidzeklis1"	6.22	0
"lidzeklis1"	7.01	1
"lidzeklis1"	5.83	1
"lidzeklis1"	6.82	1
"lidzeklis1"	6.58	1
"lidzeklis1"	6.77	1
"lidzeklis1"	6.66	1
"lidzeklis1"	7.33	1
"lidzeklis1"	6.58	1
"lidzeklis1"	6.23	1
"lidzeklis1"	6.38	3
"lidzeklis1"	5.79	0
"lidzeklis1"	6.65	3
"lidzeklis1"	6.53	0
"lidzeklis1"	6.97	1
"lidzeklis1"	6.72	0
"lidzeklis1"	5.71	0
"lidzeklis1"	6.68	2
"lidzeklis1"	6.65	1
"lidzeklis1"	6.19	0
"lidzeklis1"	5.89	1
"lidzeklis1"	6.55	2
"lidzeklis1"	7.41	0
"lidzeklis1"	7.23	0
"lidzeklis1"	6.6	0
"lidzeklis1"	7.04	0
"lidzeklis2"	6.89	0
"lidzeklis2"	7.39	0
"lidzeklis2"	6	0
"lidzeklis2"	6.16	0
"lidzeklis2"	7.54	2
"lidzeklis2"	6.87	0
"lidzeklis2"	7.39	0
"lidzeklis2"	6.13	0
"lidzeklis2"	6.27	0
"lidzeklis2"	6.75	1
"lidzeklis2"	6.69	1
"lidzeklis2"	7.57	0
"lidzeklis2"	7	1
"lidzeklis2"	6.64	0
"lidzeklis2"	6.88	0
"lidzeklis2"	6.21	0
"lidzeklis2"	6.9	0
"lidzeklis2"	5.77	1
"lidzeklis2"	6.85	0
"lidzeklis2"	5.31	0
"lidzeklis2"	5.88	0
"lidzeklis2"	6.05	0
"lidzeklis2"	6.25	0
"lidzeklis2"	6.59	1
"lidzeklis2"	6.67	0
"lidzeklis2"	7.25	0
"lidzeklis2"	7.43	1
"lidzeklis2"	6.83	0
"lidzeklis2"	7.09	0
"lidzeklis2"	6.84	0
"lidzeklis2"	5.77	0
"lidzeklis2"	6.46	0
"lidzeklis2"	7.11	0
"lidzeklis2"	6.32	0
"lidzeklis2"	6.92	0
"lidzeklis2"	6.46	0
"lidzeklis2"	7.76	1
"lidzeklis2"	6.46	1
"lidzeklis2"	6.82	0
"lidzeklis2"	5.96	0
"lidzeklis2"	6.22	1
"lidzeklis2"	7.08	0
"lidzeklis2"	7.21	0
"lidzeklis2"	7.09	0
"lidzeklis2"	6.62	1
"lidzeklis2"	6.6	0
"lidzeklis2"	6.35	2
"lidzeklis2"	6.66	0
"lidzeklis2"	6.13	0
"lidzeklis2"	6.55	0
"lidzeklis2"	7.11	0
"lidzeklis2"	6.64	0
"lidzeklis2"	7.17	2
"lidzeklis2"	6.63	0
"lidzeklis2"	7.02	0
"lidzeklis2"	5.71	1
"lidzeklis2"	7.04	1
"lidzeklis2"	6.85	1
"lidzeklis2"	6.61	0
"lidzeklis2"	6.79	1
"lidzeklis2"	6.05	1
"lidzeklis2"	6.59	0
"lidzeklis2"	6.97	0
"lidzeklis2"	5.77	0
"lidzeklis2"	6.92	0
"lidzeklis2"	6.79	0
"lidzeklis2"	6.28	0
"lidzeklis2"	7.09	1
"lidzeklis2"	6.53	1
"lidzeklis2"	5.98	0
"lidzeklis2"	6.23	0
"lidzeklis2"	7.47	0
"lidzeklis2"	6.52	0
"lidzeklis2"	7.45	0
"lidzeklis2"	6.58	2
"lidzeklis2"	6.02	0
"lidzeklis2"	6.83	1
"lidzeklis2"	6.75	0
"lidzeklis2"	5.62	1
"lidzeklis2"	6.64	0
"lidzeklis2"	6.2	0
"lidzeklis2"	6.51	0
"lidzeklis2"	5.75	0
"lidzeklis2"	7.46	0
"lidzeklis2"	7.68	0
"lidzeklis2"	7.04	1
"lidzeklis2"	6.6	1
"lidzeklis2"	6.02	0
"lidzeklis2"	7.04	0
"lidzeklis2"	6.1	1
"lidzeklis2"	6.41	1
"lidzeklis2"	5.96	0
"lidzeklis2"	6.33	0
"lidzeklis2"	7.26	0
"lidzeklis2"	7.16	0
"lidzeklis2"	7.17	0
"lidzeklis2"	7.14	1
"lidzeklis2"	6.78	0
"lidzeklis2"	6.78	0
"lidzeklis2"	7.16	0
